Fecha,Precio_Gas
2025-01-01,52.18
2025-01-02,53.49
2025-01-03,51.21
2025-01-04,50.63
2025-01-05,51.31
2025-01-06,50.89
2025-01-07,47.59
2025-01-08,47.85
2025-01-09,45.86
2025-01-10,45.1
2025-01-11,45.13
2025-01-12,46.18
2025-01-13,47.17
2025-01-14,48.76
2025-01-15,47.43
2025-01-16,47.22
2025-01-17,46.37
2025-01-18,47.09
2025-01-19,48.29
2025-01-20,49.04
2025-01-21,48.36
2025-01-22,50.45
2025-01-23,47.65
2025-01-24,48.02
2025-01-25,48.43
2025-01-26,47.35
2025-01-27,48.11
2025-01-28,46.78
2025-01-29,47.53
2025-01-30,50.3
2025-01-31,50.91
2025-02-01,52.24
2025-02-02,53.75
2025-02-03,54.0
2025-02-04,52.77
2025-02-05,51.54
2025-02-06,52.87
2025-02-07,53.75
2025-02-08,54.85
2025-02-09,55.38
2025-02-10,55.43
2025-02-11,57.22
2025-02-12,56.61
2025-02-13,54.72
2025-02-14,50.62
2025-02-15,50.25
2025-02-16,50.49
2025-02-17,51.44
2025-02-18,47.7
2025-02-19,48.94
2025-02-20,47.1
2025-02-21,46.86
2025-02-22,45.97
2025-02-23,45.65
2025-02-24,45.42
2025-02-25,46.46
2025-02-26,43.66
2025-02-27,41.0
2025-02-28,44.38
2025-03-01,43.88
2025-03-02,45.07
2025-03-03,46.04
2025-03-04,44.95
2025-03-05,43.28
2025-03-06,40.86
2025-03-07,38.11
2025-03-08,39.86
2025-03-09,39.07
2025-03-10,39.53
2025-03-11,41.11
2025-03-12,42.88
2025-03-13,41.91
2025-03-14,41.14
2025-03-15,41.76
2025-03-16,42.14
2025-03-17,42.13
2025-03-18,41.09
2025-03-19,40.22
2025-03-20,42.5
2025-03-21,41.89
2025-03-22,41.82
2025-03-23,41.54
2025-03-24,41.7
2025-03-25,41.58
2025-03-26,40.37
2025-03-27,39.72
2025-03-28,40.04
2025-03-29,39.53
2025-03-30,38.83
2025-03-31,39.07
2025-04-01,39.37
2025-04-02,40.37
2025-04-03,39.69
2025-04-04,37.61
2025-04-05,35.07
2025-04-06,35.54
2025-04-07,35.07
2025-04-08,34.7
2025-04-09,35.04
2025-04-10,31.89
2025-04-11,31.72
2025-04-12,32.57
2025-04-13,32.01
2025-04-14,32.01
2025-04-15,32.69
2025-04-16,32.02
2025-04-17,33.41
2025-04-18,33.13
2025-04-19,34.26
2025-04-20,34.58
2025-04-21,35.19
2025-04-22,35.1
2025-04-23,32.41
2025-04-24,32.44
2025-04-25,32.11
2025-04-26,30.9
2025-04-27,30.83
2025-04-28,30.09
2025-04-29,30.47
2025-04-30,30.42
2025-05-01,30.91
2025-05-02,30.66
2025-05-03,32.55
2025-05-04,31.57
2025-05-05,31.63
2025-05-06,31.65
2025-05-07,33.31
2025-05-08,33.05
2025-05-09,34.21
2025-05-10,33.51
2025-05-11,33.85
2025-05-12,33.91
2025-05-13,34.16
2025-05-14,34.58
2025-05-15,33.82
2025-05-16,34.13
2025-05-17,34.19
2025-05-18,34.19
2025-05-19,34.36
2025-05-20,34.29
2025-05-21,36.06
2025-05-22,36.02
2025-05-23,34.95
2025-05-24,35.44
2025-05-25,36.45
2025-05-26,36.26
2025-05-27,36.33
2025-05-28,35.57
2025-05-29,35.45
2025-05-30,34.1
2025-05-31,33.37
2025-06-01,33.52
2025-06-02,33.79
2025-06-03,34.47
2025-06-04,35.21
2025-06-05,34.81
2025-06-06,35.79
2025-06-07,35.68
2025-06-08,36.0
2025-06-09,36.24
2025-06-10,35.2
2025-06-11,34.3
2025-06-12,35.55
2025-06-13,35.99
2025-06-14,37.43
2025-06-15,37.33
2025-06-16,38.41
2025-06-17,37.56
2025-06-18,38.89
2025-06-19,38.53
2025-06-20,41.45
2025-06-21,40.9
2025-06-22,41.42
2025-06-23,44.79
2025-06-24,40.39
2025-06-25,35.7
2025-06-26,35.42
2025-06-27,33.94
2025-06-28,33.36
2025-06-29,33.83
2025-06-30,34.23
2025-07-01,33.2
2025-07-02,33.55
2025-07-03,33.54
2025-07-04,33.43
2025-07-05,33.33
2025-07-06,33.5
2025-07-07,33.39
2025-07-08,33.58
2025-07-09,34.31
2025-07-10,34.58
2025-07-11,35.16
2025-07-12,35.53
2025-07-13,37.02
2025-07-14,36.25
2025-07-15,35.17
2025-07-16,34.42
2025-07-17,34.8
2025-07-18,34.43
2025-07-19,33.82
2025-07-20,34.0
2025-07-21,34.2
2025-07-22,33.09
2025-07-23,33.03
2025-07-24,32.59
2025-07-25,32.39
2025-07-26,32.39
2025-07-27,32.92
2025-07-28,32.8
2025-07-29,32.99
2025-07-30,34.02
2025-07-31,34.85
2025-08-01,35.06
2025-08-02,34.04
2025-08-03,33.77
2025-08-04,33.89
2025-08-05,34.22
2025-08-06,34.33
2025-08-07,33.18
2025-08-08,32.98
2025-08-09,32.27
2025-08-10,32.48
2025-08-11,32.55
2025-08-12,32.86
2025-08-13,32.2
2025-08-14,32.6
2025-08-15,31.99
2025-08-16,30.7
2025-08-17,31.54
2025-08-18,32.28
2025-08-19,30.89
2025-08-20,30.87
2025-08-21,31.74
2025-08-22,32.51
2025-08-23,32.93
2025-08-24,33.47
2025-08-25,33.49
2025-08-26,33.38
2025-08-27,32.82
2025-08-28,31.97
2025-08-29,31.09
2025-08-30,31.08
2025-08-31,30.93
2025-09-01,30.87
2025-09-02,31.59
2025-09-03,31.22
2025-09-04,31.19
2025-09-05,31.82
2025-09-06,31.36
2025-09-07,31.4
2025-09-08,31.19
2025-09-09,32.47
2025-09-10,32.58
2025-09-11,32.7
2025-09-12,31.75
2025-09-13,32.27
2025-09-14,32.23
2025-09-15,32.18
2025-09-16,31.53
2025-09-17,31.78
2025-09-18,31.95
2025-09-19,32.47
2025-09-20,31.92
2025-09-21,32.05
2025-09-22,31.96
2025-09-23,31.5
2025-09-24,31.87
2025-09-25,31.49
2025-09-26,31.99
2025-09-27,32.14
2025-09-28,31.98
2025-09-29,32.1
2025-09-30,31.72
2025-10-01,30.83
2025-10-02,30.82
2025-10-03,30.34
2025-10-04,30.24
2025-10-05,31.23
2025-10-06,31.99
2025-10-07,32.31
2025-10-08,32.38
2025-10-09,31.73
2025-10-10,31.4
2025-10-11,31.09
2025-10-12,31.01
2025-10-13,31.17
2025-10-14,30.64
2025-10-15,30.92
2025-10-16,31.15
2025-10-17,31.68
2025-10-18,31.39
2025-10-19,31.1
2025-10-20,31.22
2025-10-21,30.83
2025-10-22,31.39
2025-10-23,30.94
2025-10-24,31.64
2025-10-25,31.2
2025-10-26,32.07
2025-10-27,31.57
2025-10-28,30.7
2025-10-29,30.97
2025-10-30,31.38
2025-10-31,30.59
2025-11-01,30.17
2025-11-02,30.43
2025-11-03,30.64
2025-11-04,30.9
2025-11-05,31.41
2025-11-06,30.83
2025-11-07,30.67
2025-11-08,30.31
2025-11-09,30.31
2025-11-10,30.72
2025-11-11,30.23
2025-11-12,30.15
2025-11-13,29.81
2025-11-14,29.42
2025-11-15,30.23
2025-11-16,30.54
2025-11-17,30.5
2025-11-18,30.94
2025-11-19,31.08
2025-11-20,30.42
2025-11-21,30.43
2025-11-22,29.78
2025-11-23,30.2
2025-11-24,29.83
2025-11-25,29.37
2025-11-26,29.23
2025-11-27,29.12
2025-11-28,28.82
2025-11-29,28.95
2025-11-30,29.04
2025-12-01,28.91
2025-12-02,28.15
2025-12-03,27.69
2025-12-04,28.04
2025-12-05,26.92
2025-12-06,27.23
2025-12-07,27.46
2025-12-08,27.16
2025-12-09,26.71
2025-12-10,27.27
2025-12-11,26.54
2025-12-12,26.59
2025-12-13,27.37
2025-12-14,29.1
2025-12-15,28.47
2025-12-16,27.18
2025-12-17,26.62
2025-12-18,27.13
2025-12-19,27.5
2025-12-20,28.01
2025-12-21,28.95
2025-12-22,29.08
2025-12-23,27.69
2025-12-24,27.69
2025-12-25,28.42
2025-12-26,29.39
2025-12-27,29.69
2025-12-28,29.82
2025-12-29,29.81
2025-12-30,28.47
