Escenario,Cluster_center,Dia_representativo,Probabilidad
1,0,2026-01-01,0.0056179775280898875
2,1,2026-01-02,0.0056179775280898875
3,4,2026-01-05,0.0056179775280898875
4,5,2026-01-06,0.0056179775280898875
5,7,2026-01-08,0.02247191011235955
6,8,2026-01-09,0.0056179775280898875
7,10,2026-01-11,0.0449438202247191
8,12,2026-01-13,0.0056179775280898875
9,13,2026-01-14,0.0056179775280898875
10,14,2026-01-15,0.011235955056179775
11,15,2026-01-16,0.016853932584269662
12,27,2026-01-28,0.011235955056179775
13,33,2026-02-03,0.011235955056179775
14,35,2026-02-05,0.10112359550561797
15,38,2026-02-08,0.02247191011235955
16,41,2026-02-11,0.0056179775280898875
17,24,2026-01-25,0.011235955056179775
18,50,2026-02-20,0.03932584269662921
19,54,2026-02-24,0.06741573033707865
20,58,2026-02-28,0.011235955056179775
21,25,2026-01-26,0.011235955056179775
22,61,2026-03-03,0.011235955056179775
23,62,2026-03-04,0.0056179775280898875
24,68,2026-03-10,0.0056179775280898875
25,69,2026-03-11,0.0056179775280898875
26,71,2026-03-13,0.0056179775280898875
27,73,2026-03-15,0.0056179775280898875
28,74,2026-03-16,0.0056179775280898875
29,78,2026-03-20,0.03932584269662921
30,83,2026-03-25,0.0056179775280898875
31,84,2026-03-26,0.0056179775280898875
32,92,2026-04-04,0.0056179775280898875
33,107,2026-04-20,0.0449438202247191
34,110,2026-04-24,0.0056179775280898875
35,113,2026-04-27,0.0056179775280898875
36,115,2026-04-29,0.016853932584269662
37,118,2026-05-02,0.05056179775280899
38,121,2026-05-05,0.0056179775280898875
39,127,2026-05-11,0.0056179775280898875
40,128,2026-05-12,0.0056179775280898875
41,131,2026-05-15,0.056179775280898875
42,132,2026-05-16,0.03932584269662921
43,138,2026-05-22,0.06179775280898876
44,143,2026-05-27,0.05056179775280899
45,149,2026-06-02,0.02247191011235955
46,156,2026-06-09,0.02247191011235955
47,157,2026-06-10,0.02247191011235955
48,173,2026-06-26,0.056179775280898875
