Fecha,Hora,Produccion_Eolica
2019-01-01,1,14.5
2019-01-01,2,18.0
2019-01-01,3,19.0
2019-01-01,4,18.5
2019-01-01,5,15.0
2019-01-01,6,10.5
2019-01-01,7,9.5
2019-01-01,8,9.5
2019-01-01,9,9.5
2019-01-01,10,8.0
2019-01-01,11,8.5
2019-01-01,12,11.0
2019-01-01,13,15.5
2019-01-01,14,23.0
2019-01-01,15,36.5
2019-01-01,16,56.0
2019-01-01,17,74.0
2019-01-01,18,96.0
2019-01-01,19,113.5
2019-01-01,20,124.5
2019-01-01,21,131.5
2019-01-01,22,137.0
2019-01-01,23,137.5
2019-01-01,24,134.5
2019-01-02,1,135.0
2019-01-02,2,149.5
2019-01-02,3,162.5
2019-01-02,4,158.0
2019-01-02,5,155.0
2019-01-02,6,147.0
2019-01-02,7,150.0
2019-01-02,8,154.0
2019-01-02,9,121.5
2019-01-02,10,89.0
2019-01-02,11,83.0
2019-01-02,12,81.0
2019-01-02,13,77.5
2019-01-02,14,80.5
2019-01-02,15,96.5
2019-01-02,16,116.5
2019-01-02,17,124.0
2019-01-02,18,110.0
2019-01-02,19,105.5
2019-01-02,20,106.5
2019-01-02,21,114.5
2019-01-02,22,130.5
2019-01-02,23,139.0
2019-01-02,24,129.5
2019-01-03,1,111.0
2019-01-03,2,100.5
2019-01-03,3,92.5
2019-01-03,4,80.5
2019-01-03,5,75.0
2019-01-03,6,77.0
2019-01-03,7,78.5
2019-01-03,8,74.5
2019-01-03,9,56.5
2019-01-03,10,24.0
2019-01-03,11,2.5
2019-01-03,12,12.5
2019-01-03,13,23.0
2019-01-03,14,30.5
2019-01-03,15,29.0
2019-01-03,16,18.5
2019-01-03,17,10.0
2019-01-03,18,9.0
2019-01-03,19,12.5
2019-01-03,20,17.0
2019-01-03,21,19.5
2019-01-03,22,19.0
2019-01-03,23,17.5
2019-01-03,24,17.5
2019-01-04,1,15.0
2019-01-04,2,5.5
2019-01-04,3,2.5
2019-01-04,4,3.5
2019-01-04,5,8.5
2019-01-04,6,11.5
2019-01-04,7,12.5
2019-01-04,8,12.0
2019-01-04,9,11.0
2019-01-04,10,7.0
2019-01-04,11,5.5
2019-01-04,12,6.0
2019-01-04,13,6.5
2019-01-04,14,8.5
2019-01-04,15,16.5
2019-01-04,16,24.5
2019-01-04,17,25.0
2019-01-04,18,28.5
2019-01-04,19,33.5
2019-01-04,20,40.0
2019-01-04,21,50.0
2019-01-04,22,56.5
2019-01-04,23,64.0
2019-01-04,24,68.0
2019-01-05,1,64.0
2019-01-05,2,56.0
2019-01-05,3,53.0
2019-01-05,4,54.5
2019-01-05,5,62.0
2019-01-05,6,75.0
2019-01-05,7,79.0
2019-01-05,8,70.0
2019-01-05,9,66.0
2019-01-05,10,53.5
2019-01-05,11,34.0
2019-01-05,12,34.0
2019-01-05,13,35.0
2019-01-05,14,54.5
2019-01-05,15,107.0
2019-01-05,16,163.0
2019-01-05,17,219.5
2019-01-05,18,285.5
2019-01-05,19,320.0
2019-01-05,20,317.5
2019-01-05,21,296.0
2019-01-05,22,280.0
2019-01-05,23,270.5
2019-01-05,24,262.0
2019-01-06,1,255.0
2019-01-06,2,245.5
2019-01-06,3,242.5
2019-01-06,4,239.5
2019-01-06,5,224.5
2019-01-06,6,200.0
2019-01-06,7,178.0
2019-01-06,8,154.0
2019-01-06,9,122.0
2019-01-06,10,79.5
2019-01-06,11,43.0
2019-01-06,12,29.0
2019-01-06,13,23.0
2019-01-06,14,20.5
2019-01-06,15,25.5
2019-01-06,16,39.0
2019-01-06,17,65.0
2019-01-06,18,106.0
2019-01-06,19,148.0
2019-01-06,20,137.0
2019-01-06,21,93.5
2019-01-06,22,86.0
2019-01-06,23,67.5
2019-01-06,24,44.0
2019-01-07,1,26.5
2019-01-07,2,16.0
2019-01-07,3,11.0
2019-01-07,4,6.5
2019-01-07,5,7.5
2019-01-07,6,9.5
2019-01-07,7,13.5
2019-01-07,8,15.5
2019-01-07,9,12.5
2019-01-07,10,5.5
2019-01-07,11,4.0
2019-01-07,12,4.0
2019-01-07,13,4.0
2019-01-07,14,3.5
2019-01-07,15,9.0
2019-01-07,16,11.0
2019-01-07,17,11.0
2019-01-07,18,20.5
2019-01-07,19,28.0
